"","Year","Name of Awardee","Degree Program (If Student)","Designation","Project","Number of Sites/Regions Studies","Location of Project","Category","Project Status","Access (Link)","Call Number (If Copy Available in the Library)","date"
"1",2004,"Gregory Donofrio","Ph.D","Student","Stein’s Planning for Markets",3,"Pike Place Market in Seattle, WA","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/6630895","Thesis NA9001 2009 D666",2004
"2",2004,"Gregory Donofrio","Ph.D","Student","Stein’s Planning for Markets",3,"Faneuil Hall Marketplace in Boston, MA","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/6630895","Thesis NA9001 2009 D666",2004
"3",2004,"Gregory Donofrio","Ph.D","Student","Stein’s Planning for Markets",3,"Gansevoort Market, in New York, NY","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/6630895","Thesis NA9001 2009 D666",2004
"4",2004,"Jeremy Kane","Masters","Student","Progressive Plans: Greenbelt, MD and Clarence Stein",1,"Greenbelt,  MD","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/5992611","Thesis SB468 2006 K3635",2004
"5",2004,"Roberta Moudry","N/A","Instructor, Department of Architecture, Cornell University and Editor, The Society of City and Regional Planning History","The Society of City and Regional Planning History",NA,"N/A","Category A: Support for Senior Scholarly Research","Completed.","http://sk.sagepub.com/reference/community/n471.xml","N/A",2004
"6",2004,"Elizabeth C. Sargent","Masters","Student","Utopian Pragmatism: Clarence Stein, New Urbanism and the Evolution of the American Regional City",NA,"N/A","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/5652067","Thesis NA9001 2005 S275",2004
"7",2004,"Mary Woods","N/A","Instructor, Department of Architecture, Cornell University","Modern Havana and Miami",2,"Havana, Cuba","Category A: Support for Senior Scholarly Research","Completed.","http://news.cornell.edu/stories/2004/09/conference-havana-and-miami-architecture","N/A",2004
"8",2004,"Mary Woods","N/A","Instructor, Department of Architecture, Cornell University","Modern Havana and Miami",2,"Miami, FL","Category A: Support for Senior Scholarly Research","Completed.","http://news.cornell.edu/stories/2004/09/conference-havana-and-miami-architecture","N/A",2004
"9",2005,"Soumya Dharmavaram","Masters","Student","Community-based Regional Natural and Cultural Resource Management:  the Regional Planning Association of America (RPAA)",NA,"N/A","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/5998489","Thesis NA9001 2006 D537",2005
"10",2005,"Kurt Massey","Masters","Student","Sustainable Panama:  Planning and Conservation Strategies for the Panama Canal Metropolitan Region",1,"Panama City, Panama","Category B: Support for Student Research","Completed.","https://www.yumpu.com/en/document/view/16778970/panama-class-report-2006-aap-cornell-university","N/A",2005
"11",2005,"Robert McCullough,","N/A","Assistant Professor, Graduate Program in Historic Preservation, University of Vermont, Burlington","A Path for Kindred Spirits:  The Friendship of Clarence Stein and Benton MacKaye",NA,"N/A","Category A: Support for Senior Scholarly Research","Completed.","https://newcatalog.library.cornell.edu/catalog/7866111","NA736 .M38 2012",2005
"12",2005,"Jonathan David Gunderlach","Masters","Student","Sound, A Character-defining Feature of Historic Places: Listening in Chatham Village, Pittsburgh",1,"Chatam Village, Pittsburgh, PA","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/6038596","Thesis NA9001 2007 G863",2005
"13",2005,"Elizabeth Murphy","Masters","Student","The Regional Planning Association’s Influence on Contemporary Transportation",NA,"N/A","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/6164529","Thesis NA9001 2007 M877",2005
"14",2005,"Allyson Stoll","Ph.D","Student","The C.S. Stein Digitization Project",NA,"N/A","Category B: Support for Student Research","Completed.","https://digital.library.cornell.edu/?f%5Barchival_collection_tesim%5D%5B%5D=Clarence+Stein+papers%2C+1905-1983.&f%5Bcollection_tesim%5D%5B%5D=Images+from+the+Rare+Book+and+Manuscript+Collections","N/A",2005
"15",2006,"Pierre Clavel","N/A","Professor, Department of City and Regional Planning, Cornell University","The “Progressive Cities and Neighborhood Planning” Collection:  A Course Development Proposal with Research and Community Service",NA,"N/A","Category A: Support for Senior Scholarly Research","Completed.","http://www.plannersnetwork.org/wp-content/uploads/2012/07/2007_170_winter_p.pdf","N/A",2006
"16",2006,"Emily A. Goldman","Masters","Student","Dusting Off the Deeds:  Land Use Control for Sunnyside Gardens, NY",1,"Sunnyside Gardens, NY","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/6225324","Thesis NA9001 2007 G653",2006
"17",2006,"David Lessinger","Masters","Student","The RPAA, Race and Regionalism",NA,"N/A","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/6332220","Thesis NA9001 2007 L479",2006
"18",2006,"Paula Horrigan","N/A","Associate Professor, Department of Landscape Architecture, Cornell University","Livable Communities:  Engaging Stein and Comparable Companions",NA,"N/A","Category A: Support for Senior Scholarly Research","Completed.","https://web.archive.org/web/20080906174131/http://www.people.cornell.edu/pages/alr26/cci_links.html","N/A",2006
"19",2006,"Kasbekar Prajakta","Masters","Student","Towards Green Initiatives in Low Cost Housing Projects:  Combining Stein’s Design Theories with LEED Guidelines",NA,"N/A","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/6164985","Thesis NA9001 2007 K373",2006
"20",2006,"Crystal Lackey","Masters","Student","Stein’s Approach:  Building a Sense of Community before Building Communities",1,"Burlington, VT","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/6332516","Thesis NA9001 2007 L333",2006
"21",2006,"Daniel Pearlstein","Masters","Student","Utopia in Default:  The Sunnyside Mortgage Strikers as Planners, 1933-1936",1,"Sunnyside Gardens, NY","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/6165018","Thesis NA9001 2007 P437",2006
"22",2006,"Connor Semler","Masters","Student","The RPAA Vision of Regionalism, as Applied to the Niagara Frontier",1,"Niagara, Buffalo, NY","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/6332447","Thesis NA9001 2007 S449",2006
"23",2006,"Jonathan Thompson","Ph.D","Student","Progressive Innovation in the United States: Madison, WL, and the Conference on Alternative State and Local Policies",1,"Madison, WI","Category B: Support for Student Research","Completed.","http://www.plannersnetwork.org/2007/01/progressive-innovation-in-the-1970s-madison-wisconsin-and-the-conference-on-alternative-state-and-local-public-policies/","N/A",2006
"24",2006,"Jeremy Zaborowski","Masters","Student","Stein’s New Towns (Chatham Village PA; Columbia, MD) and New Urbanism (Crawford Square, PA, and the Mashpee Commons, MA)",2,"Chatham Village PA","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/7783034","Thesis NA9001 2012 Z336",2006
